row,origin,destination,issue,detail
69,"Guadalupe Nuevo / MRT Guadalupe Area, Makati City","Kalayaan Avenue / BGC Gate Area, Taguig City",geocode_failed,"origin or destination place"
Boni Avenue / Pinatubo Street Area, Mandaluyong City,"Boni Avenue / Pinatubo Street Area, Mandaluyong City","",geocode_failed,"Boni Avenue / Pinatubo Street Area, Mandaluyong City"
Pioneer Street / Robinsons Cybergate Area, Mandaluyong City,"Pioneer Street / Robinsons Cybergate Area, Mandaluyong City","",geocode_failed,"Pioneer Street / Robinsons Cybergate Area, Mandaluyong City"
70,"Boni Avenue / Pinatubo Street Area, Mandaluyong City","Pioneer Street / Robinsons Cybergate Area, Mandaluyong City",geocode_failed,"origin or destination place"
Divisoria / Tutuban Area, Manila City,"Divisoria / Tutuban Area, Manila City","",geocode_failed,"Divisoria / Tutuban Area, Manila City"
71,"Quiapo Church / Plaza Miranda, Manila City","Divisoria / Tutuban Area, Manila City",geocode_failed,"origin or destination place"
Taft Avenue / EDSA Rotonda, Pasay City,"Taft Avenue / EDSA Rotonda, Pasay City","",geocode_failed,"Taft Avenue / EDSA Rotonda, Pasay City"
72,"Taft Avenue / EDSA Rotonda, Pasay City","SM Mall of Asia, Pasay City",geocode_failed,"origin or destination place"
C5 Staffhouse / Market! Market! Area, Taguig City,"C5 Staffhouse / Market! Market! Area, Taguig City","",geocode_failed,"C5 Staffhouse / Market! Market! Area, Taguig City"
Upper McKinley / Venice Grand Canal Mall, Taguig City,"Upper McKinley / Venice Grand Canal Mall, Taguig City","",geocode_failed,"Upper McKinley / Venice Grand Canal Mall, Taguig City"
73,"C5 Staffhouse / Market! Market! Area, Taguig City","Upper McKinley / Venice Grand Canal Mall, Taguig City",geocode_failed,"origin or destination place"
SM North EDSA Transport Terminal, Quezon City,"SM North EDSA Transport Terminal, Quezon City","",geocode_failed,"SM North EDSA Transport Terminal, Quezon City"
Trinoma / North Avenue Area, Quezon City,"Trinoma / North Avenue Area, Quezon City","",geocode_failed,"Trinoma / North Avenue Area, Quezon City"
74,"SM North EDSA Transport Terminal, Quezon City","Trinoma / North Avenue Area, Quezon City",geocode_failed,"origin or destination place"
Welcome Rotonda / España Boulevard, Quezon City,"Welcome Rotonda / España Boulevard, Quezon City","",geocode_failed,"Welcome Rotonda / España Boulevard, Quezon City"
76,"Quezon Avenue / EDSA Area, Quezon City","Welcome Rotonda / España Boulevard, Quezon City",geocode_failed,"origin or destination place"
Ayala Avenue / Makati CBD, Makati City,"Ayala Avenue / Makati CBD, Makati City","",geocode_failed,"Ayala Avenue / Makati CBD, Makati City"
77,"Ayala Avenue / Makati CBD, Makati City","Buendia / Gil Puyat Avenue, Makati City",geocode_failed,"origin or destination place"
